iter	Passed	Remaining
0	71	70978
1	83	41701
2	95	31741
3	105	26320
4	115	22967
5	125	20768
6	134	19144
7	144	17856
8	153	16909
9	163	16174
10	172	15489
11	181	14912
12	190	14501
13	204	14428
14	214	14107
15	225	13866
16	236	13688
17	246	13448
18	257	13299
19	267	13106
20	277	12923
21	287	12774
22	297	12625
23	309	12569
24	319	12460
25	329	12333
26	339	12238
27	350	12160
28	360	12086
29	370	11965
30	380	11888
31	388	11761
32	397	11653
33	407	11570
34	416	11492
35	425	11402
36	434	11307
37	443	11237
38	452	11157
39	461	11074
40	470	10997
41	479	10931
42	487	10847
43	495	10773
44	504	10714
45	514	10676
46	524	10635
47	533	10572
48	541	10517
49	550	10462
50	559	10406
51	567	10344
52	576	10293
53	584	10240
54	592	10186
55	602	10159
56	612	10128
57	621	10099
58	632	10079
59	641	10057
60	650	10020
61	661	10003
62	670	9973
63	680	9956
64	689	9920
65	699	9901
66	709	9876
67	718	9850
68	727	9816
69	736	9784
70	746	9765
71	755	9736
72	764	9704
73	773	9674
74	781	9642
75	790	9607
76	799	9586
77	809	9563
78	818	9545
79	827	9516
80	836	9492
81	846	9472
82	864	9554
83	875	9545
84	884	9522
85	892	9490
86	901	9465
87	910	9439
88	919	9414
89	928	9392
90	937	9365
91	946	9338
92	955	9322
93	965	9303
94	974	9285
95	983	9263
96	992	9241
97	1000	9212
98	1010	9194
99	1019	9177
100	1029	9160
101	1037	9134
102	1046	9115
103	1056	9100
104	1065	9080
105	1074	9063
106	1083	9042
107	1091	9016
108	1100	8993
109	1109	8976
110	1118	8954
111	1126	8934
112	1135	8915
113	1143	8890
114	1152	8867
115	1160	8843
116	1168	8821
117	1178	8808
118	1187	8793
119	1197	8783
120	1207	8772
121	1217	8761
122	1227	8753
123	1238	8752
124	1249	8744
125	1259	8734
126	1269	8724
127	1279	8714
128	1289	8703
129	1300	8700
130	1309	8687
131	1320	8680
132	1331	8678
133	1341	8666
134	1351	8658
135	1368	8695
136	1378	8682
137	1387	8666
138	1396	8649
139	1405	8635
140	1415	8621
141	1424	8607
142	1435	8600
143	1444	8588
144	1453	8571
145	1462	8554
146	1471	8540
147	1480	8522
148	1489	8507
149	1499	8498
150	1508	8483
151	1518	8469
152	1527	8457
153	1537	8447
154	1548	8439
155	1557	8426
156	1567	8418
157	1576	8399
158	1584	8381
159	1593	8364
160	1602	8353
161	1613	8343
162	1621	8327
163	1630	8313
164	1639	8297
165	1649	8286
166	1657	8268
167	1666	8251
168	1675	8236
169	1683	8220
170	1693	8209
171	1701	8192
172	1710	8179
173	1719	8162
174	1728	8148
175	1737	8135
176	1745	8115
177	1753	8097
178	1761	8079
179	1769	8061
180	1777	8045
181	1786	8030
182	1796	8019
183	1805	8007
184	1814	7994
185	1823	7981
186	1835	7979
187	1844	7964
188	1856	7967
189	1867	7959
190	1876	7948
191	1885	7935
192	1896	7928
193	1905	7918
194	1915	7905
195	1924	7895
196	1934	7886
197	1944	7877
198	1953	7863
199	1962	7850
200	1972	7840
201	1982	7831
202	1992	7824
203	2002	7814
204	2012	7803
205	2021	7792
206	2030	7778
207	2040	7768
208	2048	7751
209	2056	7736
210	2065	7722
211	2074	7710
212	2083	7697
213	2091	7682
214	2099	7666
215	2108	7654
216	2116	7638
217	2125	7623
218	2134	7610
219	2143	7598
220	2152	7587
221	2161	7576
222	2171	7565
223	2180	7552
224	2189	7542
225	2200	7534
226	2209	7525
227	2219	7514
228	2229	7505
229	2238	7494
230	2248	7485
231	2258	7477
232	2268	7467
233	2278	7457
234	2288	7448
235	2297	7438
236	2307	7427
237	2316	7417
238	2325	7405
239	2334	7394
240	2343	7381
241	2357	7383
242	2367	7376
243	2377	7367
244	2387	7356
245	2396	7345
246	2405	7332
247	2413	7318
248	2421	7302
249	2429	7287
250	2437	7272
251	2446	7261
252	2454	7247
253	2463	7234
254	2471	7220
255	2480	7208
256	2489	7197
257	2498	7184
258	2506	7171
259	2515	7158
260	2524	7147
261	2532	7133
262	2541	7121
263	2549	7108
264	2557	7094
265	2567	7083
266	2575	7071
267	2584	7057
268	2592	7043
269	2601	7033
270	2609	7020
271	2618	7008
272	2627	6997
273	2636	6986
274	2645	6975
275	2654	6963
276	2662	6950
277	2671	6937
278	2679	6925
279	2688	6914
280	2697	6903
281	2708	6895
282	2716	6882
283	2724	6868
284	2732	6855
285	2741	6843
286	2749	6831
287	2758	6820
288	2767	6808
289	2776	6796
290	2784	6785
291	2794	6775
292	2803	6765
293	2811	6752
294	2820	6740
295	2828	6727
296	2836	6714
297	2845	6702
298	2856	6697
299	2866	6688
300	2876	6679
301	2885	6668
302	2893	6655
303	2901	6642
304	2908	6628
305	2917	6616
306	2925	6603
307	2933	6591
308	2943	6581
309	2952	6570
310	2960	6558
311	2969	6548
312	2978	6538
313	2987	6526
314	2995	6514
315	3004	6502
316	3012	6491
317	3021	6480
318	3030	6468
319	3037	6455
320	3045	6442
321	3054	6430
322	3063	6420
323	3071	6407
324	3079	6396
325	3088	6385
326	3097	6374
327	3106	6364
328	3115	6354
329	3124	6343
330	3133	6333
331	3144	6325
332	3154	6317
333	3164	6309
334	3174	6301
335	3184	6292
336	3193	6283
337	3202	6272
338	3211	6262
339	3221	6252
340	3230	6242
341	3242	6239
342	3253	6231
343	3262	6220
344	3271	6211
345	3281	6202
346	3291	6193
347	3300	6184
348	3309	6174
349	3319	6163
350	3327	6152
351	3335	6141
352	3344	6130
353	3355	6123
354	3364	6113
355	3373	6102
356	3381	6090
357	3389	6079
358	3398	6068
359	3408	6058
360	3417	6048
361	3426	6038
362	3434	6027
363	3443	6017
364	3452	6006
365	3461	5996
366	3470	5985
367	3479	5975
368	3487	5964
369	3496	5954
370	3505	5943
371	3514	5932
372	3522	5921
373	3532	5911
374	3541	5901
375	3549	5891
376	3558	5880
377	3567	5869
378	3575	5858
379	3584	5848
380	3593	5838
381	3601	5827
382	3610	5816
383	3618	5805
384	3626	5793
385	3635	5782
386	3644	5772
387	3652	5761
388	3660	5750
389	3669	5739
390	3677	5727
391	3685	5716
392	3695	5707
393	3704	5697
394	3712	5686
395	3720	5674
396	3728	5663
397	3737	5653
398	3745	5642
399	3754	5631
400	3762	5620
401	3771	5610
402	3780	5600
403	3789	5590
404	3797	5579
405	3807	5570
406	3815	5559
407	3824	5548
408	3831	5537
409	3840	5526
410	3850	5518
411	3860	5509
412	3868	5498
413	3878	5489
414	3886	5479
415	3896	5469
416	3904	5458
417	3912	5447
418	3920	5436
419	3928	5425
420	3936	5414
421	3945	5403
422	3953	5392
423	3961	5381
424	3970	5371
425	3978	5360
426	3987	5350
427	3995	5339
428	4004	5329
429	4012	5319
430	4021	5308
431	4030	5299
432	4038	5288
433	4046	5276
434	4054	5265
435	4062	5255
436	4070	5244
437	4079	5234
438	4087	5223
439	4095	5212
440	4103	5202
441	4112	5191
442	4121	5182
443	4131	5173
444	4140	5163
445	4149	5154
446	4158	5144
447	4167	5134
448	4176	5125
449	4186	5117
450	4196	5108
451	4206	5100
452	4216	5090
453	4225	5081
454	4235	5073
455	4245	5064
456	4253	5054
457	4262	5043
458	4271	5034
459	4280	5025
460	4289	5015
461	4299	5006
462	4309	4998
463	4319	4989
464	4328	4980
465	4337	4970
466	4345	4959
467	4355	4951
468	4364	4941
469	4373	4931
470	4382	4921
471	4391	4912
472	4400	4903
473	4410	4893
474	4419	4885
475	4427	4874
476	4437	4865
477	4446	4856
478	4456	4847
479	4466	4838
480	4475	4829
481	4487	4822
482	4497	4814
483	4508	4806
484	4517	4797
485	4527	4788
486	4536	4778
487	4545	4769
488	4555	4759
489	4565	4751
490	4574	4742
491	4584	4733
492	4593	4723
493	4605	4717
494	4615	4708
495	4623	4698
496	4633	4689
497	4642	4679
498	4651	4670
499	4661	4661
500	4670	4651
501	4679	4641
502	4688	4632
503	4696	4622
504	4705	4612
505	4714	4603
506	4724	4593
507	4733	4584
508	4743	4576
509	4754	4568
510	4764	4558
511	4773	4549
512	4782	4540
513	4792	4531
514	4801	4521
515	4810	4511
516	4818	4501
517	4826	4491
